FIPS,state,county,density,rural_%,average_listing_price,cluster
25001,MA,Barnstable County,581,7.483046764989254,1476872.25,0
25003,MA,Berkshire County,139,31.59374785663661,975292.75,1
25005,MA,Bristol County,1047,9.834301503779969,663188.9166666666,3
25009,MA,Essex County,1644,4.24404467953695,937734.8333333334,0
25011,MA,Franklin County,101,54.43170991425209,436045.3333333333,4
25013,MA,Hampden County,754,8.570842952383007,376082.2727272727,3
25015,MA,Hampshire County,307,27.44369939271255,535507.9166666666,5
25017,MA,Middlesex County,1995,3.027706350605588,1078144.1666666667,0
25021,MA,Norfolk County,1832,1.2404887415322965,1083184.0,0
25023,MA,Plymouth County,805,10.3077473283507,750607.9166666666,3
25025,MA,Suffolk County,13722,0.0740905899411291,1582754.9166666667,2
25027,MA,Worcester County,570,18.39028641841733,496015.6666666667,5
