state,density,average_listing_price,cluster
AK,1,388509.89386276656,6
AL,99,277922.1530716254,8
AR,57,220453.4698217351,1
AZ,62,589690.2738095239,7
CA,253,616311.8985479048,0
CO,55,724630.9526581139,0
CT,744,534823.5555555556,6
DC,11294,934055.1666666666,5
DE,508,456882.72222222225,4
FL,401,457870.4255070501,4
GA,186,330292.00673652894,8
HI,226,1776541.625,2
IA,57,191321.8962071449,1
ID,22,569405.5360278566,4
IL,230,159117.4292795659,10
IN,189,250402.01471169124,1
KS,35,175575.6210464611,10
KY,114,257694.96178953964,1
LA,107,260083.42374708495,8
MA,901,865952.5782828283,3
MD,636,456205.1047487866,6
ME,44,490764.475,4
MI,178,289763.59906957054,8
MN,71,276949.63258005475,8
MO,89,244039.1239075776,1
MS,63,234214.93912862998,1
MT,7,552003.1101115587,4
NC,214,380903.72377417906,6
ND,11,211834.54105968872,1
NE,25,222109.84812121294,1
NH,153,514593.2821548821,4
NJ,1263,597536.626984127,0
NM,17,298887.49392536475,9
NV,28,373224.27434318553,4
NY,428,297732.59304031223,6
OH,288,239499.8954433507,1
OK,57,236297.68696955143,1
OR,44,592426.7758228246,0
PA,290,272197.2289520824,8
RI,1061,936283.2166666666,3
SC,170,337368.15587667504,9
SD,11,265308.01075559366,1
TN,167,364313.2588595571,6
TX,111,338396.17734706524,9
UT,39,639588.8144729679,7
VA,218,385863.7652589978,6
VT,69,498462.21134421136,4
WA,115,572741.9487351191,7
WI,108,327173.2886715754,9
WV,74,192256.98304487774,1
WY,5,325967.9483873663,6
