FIPS,state,county,density,rural_%,average_listing_price,cluster
25001,MA,Barnstable County,581,7.483046764989254,966429.4166666666,1
25003,MA,Berkshire County,139,31.59374785663661,631492.6666666666,4
25005,MA,Bristol County,1047,9.834301503779969,475299.6666666667,5
25009,MA,Essex County,1644,4.24404467953695,808196.25,1
25011,MA,Franklin County,101,54.43170991425209,336535.75,3
25013,MA,Hampden County,754,8.570842952383007,308572.1666666667,0
25015,MA,Hampshire County,307,27.44369939271255,421683.5,4
25017,MA,Middlesex County,1995,3.027706350605588,977263.0833333334,1
25021,MA,Norfolk County,1832,1.2404887415322965,961562.3333333334,1
25023,MA,Plymouth County,805,10.3077473283507,654978.4166666666,5
25025,MA,Suffolk County,13722,0.0740905899411291,1471327.6666666667,2
25027,MA,Worcester County,570,18.39028641841733,428645.25,0
