FIPS,state,county,density,rural_%,average_listing_price,cluster
4001,AZ,Apache County,5,74.06107553343215,626875.3333333334,2
4003,AZ,Cochise County,20,36.30106740974221,396628.9166666667,4
4005,AZ,Coconino County,7,31.46606557011181,899840.0,0
4007,AZ,Gila County,11,41.06199973879135,695058.0833333334,2
4009,AZ,Graham County,8,46.437399247716286,297374.25,4
4011,AZ,Greenlee County,5,46.5686855517364,687275.6666666666,2
4012,AZ,La Paz County,3,56.3277856410757,587637.6666666666,2
4013,AZ,Maricopa County,480,2.363799694900628,833891.0833333334,3
4015,AZ,Mohave County,16,22.963643811255533,467019.5,1
4017,AZ,Navajo County,10,54.13824232891884,580345.9166666666,2
4019,AZ,Pima County,113,7.523491144723406,514230.1666666667,1
4021,AZ,Pinal County,79,21.90462250844932,438229.5,1
4023,AZ,Santa Cruz County,38,26.88317165752847,687152.3333333334,0
4025,AZ,Yavapai County,29,33.19717769258836,881942.9166666666,0
4027,AZ,Yuma County,36,10.429576349546108,319238.0,1
